In,Out,SN,Time,TimeZone,_RoomId,__v,_id
1,0,FB8A8E16,2018-02-04T10:18:01.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bee2451175000e101e51
0,0,FB8A8E16,2018-02-04T09:30:00.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bee2451175000e101e4f
0,0,FB8A8E16,2018-02-04T10:15:00.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bee2451175000e101e50
1,0,FB8A8E16,2018-02-04T10:18:16.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77beef451175000e101e52
0,1,FB8A8E16,2018-02-04T10:18:19.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bef0451175000e101e53
0,1,FB8A8E16,2018-02-04T10:18:22.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bef6451175000e101e55
1,0,FB8A8E16,2018-02-04T10:18:25.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bef7451175000e101e56
0,1,FB8A8E16,2018-02-04T10:18:27.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bef7451175000e101e57
1,0,FB8A8E16,2018-02-04T10:18:30.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77befa451175000e101e58
0,1,FB8A8E16,2018-02-04T10:18:32.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf03451175000e101e5a
1,0,FB8A8E16,2018-02-04T10:18:35.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf0b451175000e101e5b
1,0,FB8A8E16,2018-02-04T10:18:48.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf13451175000e101e5c
1,0,FB8A8E16,2018-02-04T10:18:51.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf14451175000e101e5d
1,0,FB8A8E16,2018-02-04T10:18:53.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf14451175000e101e5e
1,0,FB8A8E16,2018-02-04T10:18:57.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf15451175000e101e5f
0,1,FB8A8E16,2018-02-04T10:19:10.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf24451175000e101e61
0,1,FB8A8E16,2018-02-04T10:19:13.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf25451175000e101e62
0,1,FB8A8E16,2018-02-04T10:19:16.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf29451175000e101e63
0,1,FB8A8E16,2018-02-04T10:19:19.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf2a451175000e101e64
0,1,FB8A8E16,2018-02-04T10:19:22.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77bf2e451175000e101e65
0,0,FB8A8E16,2018-02-04T10:24:40.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5a77c06d451175000e101e66
0,0,A2648FC2,2018-03-05T14:06:02.000Z,+0800,5a9e2b712c328a000e4111bf,0,5a9e2fe02c328a000e4111c0
0,0,A2648FC2,2018-03-05T23:41:43.000Z,+0800,5a9e4d11bfd9f7000e140d22,0,5a9e4dddbfd9f7000e140d23
1,0,A2648FC2,2018-03-06T00:32:03.000Z,+0800,5a9e4d11bfd9f7000e140d22,0,5a9e5206bfd9f7000e140d24
0,1,A2648FC2,2018-03-06T00:32:20.000Z,+0800,5a9e4d11bfd9f7000e140d22,0,5a9e521abfd9f7000e140d26
1,0,A2648FC2,2018-03-06T00:32:23.000Z,+0800,5a9e4d11bfd9f7000e140d22,0,5a9e521ebfd9f7000e140d27
0,0,FB8A8E16,2018-03-12T00:05:00.000Z,+0800,5a6eb13da39b76000e8e3ad2,0,5aa63507bfd9f7000e140d28
0,0,A2648FC2,2018-03-12T00:10:55.000Z,+0800,5a9e4d11bfd9f7000e140d22,0,5aa6362abfd9f7000e140d29
