SN,Time,TimeZone,In,Out
FB8A8E16,2018-02-05T02:18:01.000Z,+0800,1,0
FB8A8E16,2018-02-05T01:30:00.000Z,+0800,0,0
FB8A8E16,2018-02-05T02:15:00.000Z,+0800,0,0
FB8A8E16,2018-02-05T02:18:16.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:19.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:18:19.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:18:22.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:18:25.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:27.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:18:30.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:30.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:32.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:18:35.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:48.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:51.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:53.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:57.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:18:57.000Z,+0800,1,0
FB8A8E16,2018-02-05T02:19:10.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:19:13.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:19:16.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:19:19.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:19:22.000Z,+0800,0,1
FB8A8E16,2018-02-05T02:24:40.000Z,+0800,0,0
A2648FC2,2018-03-06T06:06:02.000Z,+0800,0,0
A2648FC2,2018-03-06T15:41:43.000Z,+0800,0,0
A2648FC2,2018-03-06T16:32:03.000Z,+0800,1,0
A2648FC2,2018-03-06T16:32:03.000Z,+0800,1,0
A2648FC2,2018-03-06T16:32:20.000Z,+0800,0,1
A2648FC2,2018-03-06T16:32:23.000Z,+0800,1,0
FB8A8E16,2018-03-12T16:05:00.000Z,+0800,0,0
A2648FC2,2018-03-12T16:10:55.000Z,+0800,0,0
FB8A8E16,2018-03-14T02:40:51.000Z,+0800,0,0
FB8A8E16,2018-03-14T02:46:19.000Z,+0800,0,0
FB8A8E16,2018-03-14T03:25:58.000Z,+0800,0,0
FB8A8E16,2018-03-14T15:51:33.000Z,+0800,1,0
FB8A8E16,2018-03-14T15:51:37.000Z,+0800,0,1
FB8A8E16,2018-03-14T15:51:37.000Z,+0800,0,1
FB8A8E16,2018-03-14T15:51:40.000Z,+0800,1,0
FB8A8E16,2018-03-14T15:51:54.000Z,+0800,0,1
FB8A8E16,2018-03-14T15:52:06.000Z,+0800,0,1
FB8A8E16,2018-03-14T15:53:22.000Z,+0800,0,1
FB8A8E16,2018-03-14T15:56:46.000Z,+0800,0,1
FB8A8E16,2018-03-14T16:05:36.000Z,+0800,1,0
FB8A8E16,2018-03-14T16:05:37.000Z,+0800,1,0
FB8A8E16,2018-03-14T16:13:03.000Z,+0800,0,1
FB8A8E16,2018-03-14T16:19:37.000Z,+0800,1,0
FB8A8E16,2018-03-14T16:24:09.000Z,+0800,1,0
FB8A8E16,2018-03-14T16:24:35.000Z,+0800,0,1
FB8A8E16,2018-03-14T16:24:56.000Z,+0800,0,1
FB8A8E16,2018-03-14T16:25:39.000Z,+0800,1,0
FB8A8E16,2018-03-14T16:26:47.000Z,+0800,0,1
FB8A8E16,2018-03-14T16:26:52.000Z,+0800,1,0
